optimizer,lr,num_epochs,test_acc,f1_score,final_train_acc,elapsed_sec
Adam,0.0001,10,0.6841,0.6839,0.7641,135.3
Adam,0.001,20,0.6773,0.676,0.8312,278.4
Adam,0.0001,15,0.6614,0.6577,0.8357,210.5
Adam,0.0001,5,0.6614,0.658,0.6976,69.5
Adam,0.0001,20,0.65,0.6504,0.8937,278.5
Adam,0.001,10,0.6318,0.6306,0.7499,136.2
Adam,0.001,5,0.6205,0.5898,0.6987,173.7
Adam,0.001,15,0.6182,0.6179,0.7897,208.9
SGD,0.001,15,0.6159,0.6104,0.6674,214.1
Adam,1e-05,10,0.6023,0.5807,0.6111,138.8
Adam,1e-05,20,0.6023,0.5997,0.6555,289.1
Adam,1e-05,15,0.5864,0.5812,0.6259,210.2
SGD,0.001,20,0.5841,0.5833,0.6941,275.1
SGD,0.001,10,0.5841,0.5777,0.6356,138.6
Adam,1e-05,5,0.5841,0.5716,0.5514,70.7
SGD,0.001,5,0.5773,0.5682,0.5986,71.6
SGD,0.0001,5,0.55,0.5261,0.5213,70.1
SGD,1e-05,10,0.5477,0.5482,0.5259,140.4
SGD,1e-05,20,0.5432,0.5416,0.5213,474.7
SGD,0.0001,15,0.5182,0.5092,0.5691,208.0
SGD,1e-05,5,0.5159,0.4823,0.5179,69.7
SGD,0.0001,10,0.5159,0.5072,0.5554,141.0
SGD,0.0001,20,0.5091,0.4986,0.5787,279.4
SGD,1e-05,15,0.4955,0.4951,0.5355,209.7
